t_s,r_amp
24.792,0.04438
24.994,0.00535
25.014,0.0022
25.238,0.3544
25.28,-0.1155
25.312,0.09101
25.514,0.0566
25.714,0.01554
25.736,0.01721
25.772,0.01905
25.834,-0.02349
25.932,0.06842
25.95,0.06357
25.99,0.39105
26.076,0.10494
26.272,0.07012
26.412,0.02561
26.496,0.0208
26.57,0.01074
26.672,0.04942
26.752,0.32578
26.792,-0.1177
26.83,0.0624
27.034,0.03553
27.112,-0.01402
27.256,0.01249
27.494,0.35682
27.572,0.10683
27.772,0.08109
27.874,0.01649
27.994,0.00472
28.152,0.05476
28.174,0.05391
28.228,0.38903
28.314,0.09847
28.39,0.0469
28.492,0.08392
28.512,0.08715
28.634,0.01047
28.714,0.01828
28.914,0.05341
28.982,0.38723
29.074,0.08859
29.252,0.08082
29.414,0.00755
29.512,0.0088
29.592,-0.02996
29.652,0.0319
29.746,0.33602
29.836,0.0973
30.014,0.08823
30.172,0.04057
30.232,0.05737
30.272,0.05683
30.312,0.05126
30.43,0.07587
30.474,0.07134
30.516,0.40242
30.594,0.10063
30.672,0.04227
30.792,0.0624
30.87,-0.00157
30.892,0.00139
31.012,0.0221
31.086,-0.01995
31.212,0.06092
31.24,0.30889
31.282,-0.09986
31.314,0.05615
31.352,0.0487
31.392,0.00436
31.516,0.0168
31.67,-0.01653
31.732,-0.02066
31.75,-0.03131
31.774,-0.04676
31.854,0.06042
31.892,0.07709
31.928,0.23917
31.958,-0.05189
31.97,-0.01505
32.03,0.08607
32.07,0.06676
32.21,0.03791
32.252,0.00934
32.31,0.0022
32.394,0.00139
32.432,-0.00701
32.494,0.06801
32.512,0.06797
32.532,0.06199
32.58,0.15391
32.612,0.06631
32.624,0.01222
32.656,0.02947
32.732,0.00903
32.75,0.00988
32.872,0.00827
32.932,0.03243
32.952,0.03118
32.99,0.02907
33.056,0.0478
33.088,0.01577
33.17,0.09654
33.192,0.08589
33.238,0.24218
33.278,0.00728
33.31,0.05606
33.41,0.02556
33.514,0.03275
33.57,-0.01851
33.612,-0.02116
33.634,-0.0177
33.672,-0.01123
33.732,0.00975
33.752,0.01491
33.872,0.08167
33.89,0.07534
33.936,0.30853
33.978,-0.04245
34.012,0.0801
34.072,0.04555
34.112,0.04982
34.21,0.05647
34.334,0.02785
34.352,0.02907
34.37,0.02498
34.392,0.02588
34.41,0.02174
34.43,0.02273
34.49,0.0164
34.592,0.0557
34.61,0.05898
34.676,0.33382
34.716,-0.09888
34.752,0.08895
34.95,0.05368
35.01,-0.00449
35.09,0.01828
35.112,0.01959
35.13,0.01977
35.19,0.01995
35.368,0.05853
35.392,0.05741
35.426,0.3725
35.51,0.11464
35.59,0.04744
35.71,0.05314
35.812,0.02579
35.85,0.0159
35.872,0.01101
35.948,0.00845
36.132,0.05678
36.188,0.39024
36.272,0.11985
36.472,0.06631
36.572,0.02143
36.61,0.02093
36.772,-0.0142
36.91,0.04798
36.96,0.35107
37.05,0.09663
37.148,0.0274
37.25,0.03046
37.392,0.01923
37.612,0.05782
37.632,0.05719
37.67,0.28557
37.712,-0.08369
37.752,0.07924
37.952,0.01509
37.99,0.00566
38.152,0.0305
38.21,-0.00319
38.31,0.06828
38.364,0.3314
38.448,0.09506
38.632,0.06033
38.81,0.0155
38.872,0.02048
38.91,-0.01806
38.99,0.05207
39.064,0.34716
39.15,0.09807
39.35,0.05314
39.472,0.00939
39.59,0.01581
39.63,-0.02588
39.712,0.05108
39.786,0.36046
39.87,0.10844
40.052,0.06285
40.29,0.01514
40.412,0.04942
40.488,0.37394
40.568,0.11123
40.752,0.06186
40.912,0.00651
40.972,0.00822
41.13,0.04865
41.192,0.34649
41.232,-0.10656
41.29,0.09807
41.45,0.04497
41.61,0.00427
41.69,0.0142
41.81,0.06114
41.87,0.31437
41.912,-0.09375
41.952,0.09672
42.01,0.06487
42.148,0.0535
42.31,0.01869
42.37,0.01945
42.492,0.06199
42.558,0.33319
42.598,-0.10993
42.632,0.09591
42.832,0.05907
42.97,0.01249
43.05,0.01015
43.212,0.05202
43.272,0.36603
43.312,-0.10463
43.35,0.09618
43.548,0.05912
43.692,0.01343
43.77,0.01141
43.83,-0.02354
43.912,0.0535
43.984,0.36136
44.07,0.10957
44.25,0.05624
44.35,0.004
44.392,0.01038
44.492,0.01348
44.63,0.04991
44.702,0.35997
44.788,0.10799
44.97,0.0584
45.112,0.01289
45.13,0.01168
45.19,0.01599
45.21,0.01554
45.348,0.04151
45.428,0.39748
45.51,0.11662
45.708,0.06289
45.77,-0.00809
45.83,0.01384
45.89,0.01123
45.95,0.00845
46.01,-0.0385
46.11,0.03437
46.166,0.34528
46.252,0.10009
46.33,0.05948
46.432,0.03994
46.51,-0.00678
46.59,0.0115
46.608,0.01222
46.67,0.02125
46.79,0.04811
