t_s,r_amp
274.41,0.04331
274.45,0.07569
274.488,-0.01033
274.512,-0.01721
274.53,-0.01563
274.55,0.00562
274.568,0.00916
274.588,0.01864
274.61,0.01002
274.63,0.01177
274.648,0.0097
274.67,0.01402
274.688,0.01384
274.71,0.01276
274.726,0.00413
274.812,0.03212
274.83,0.04632
274.848,0.05072
274.872,0.04798
274.906,0.3353
274.992,0.11469
275.008,0.09124
275.028,0.07853
275.07,0.06127
275.108,0.03306
275.17,0.07996
275.188,0.08594
275.246,-0.00916
275.27,0.00027
275.29,0.01779
275.31,0.01541
275.33,0.02048
275.348,0.01276
275.37,0.01577
275.39,0.01119
275.412,0.01887
275.432,0.01779
275.448,0.01357
275.468,0.01393
275.49,-0.0217
275.568,0.05588
275.59,0.05094
275.644,0.3446
275.726,0.13046
275.748,0.11267
275.768,0.09685
275.79,0.09519
275.808,0.08751
275.872,0.03109
275.892,0.05409
275.91,0.08171
275.93,0.08648
275.946,0.06707
276.01,0.01707
276.032,0.01635
276.05,0.02269
276.074,0.01959
276.09,0.02201
276.108,0.02426
276.13,0.03657
276.148,0.02736
276.168,0.03657
276.21,0.00247
276.272,0.04236
276.29,0.04995
276.31,0.04933
276.334,0.03333
276.366,0.26199
276.41,-0.09321
276.45,0.09793
276.468,0.06927
276.492,0.07134
276.508,0.06981
276.548,0.02606
276.568,0.0093
276.588,0.00319
276.61,0.01276
276.63,0.0319
276.652,0.03338
276.672,0.02296
276.708,-0.01213
276.728,-0.01132
276.75,-0.00966
276.772,0.00108
276.792,0.00827
276.812,0.0075
276.832,0.00809
276.848,0.01671
276.872,0.01491
276.89,0.01932
276.912,0.01855
277.01,0.04164
277.032,0.03872
277.094,0.303
277.134,-0.1274
277.172,0.09542
277.19,0.08068
277.208,0.05894
277.23,0.06415
277.248,0.05853
277.288,0.03468
277.312,0.01491
277.332,0.03167
277.372,0.08486
277.388,0.0814
277.452,-0.02713
277.47,-0.01765
277.49,-0.00328
277.51,0.00737
277.53,0.00705
277.548,-0.00216
277.568,0.00112
277.588,0.0031
277.612,0.01244
277.634,0.00997
277.652,0.00521
277.668,0.00521
277.69,-0.02853
277.75,0.02561
277.77,0.04366
277.792,0.03949
277.81,0.03976
277.848,0.3544
277.93,0.11914
277.988,0.08037
278.008,0.07286
278.052,0.05063
278.074,0.05013
278.13,0.11321
278.19,0.01756
278.212,0.01797
278.23,0.02736
278.25,0.03657
278.27,0.03396
278.328,0.03073
278.35,0.03971
278.372,0.03482
278.394,0.04101
278.414,0.03167
278.448,-0.00445
278.508,0.05665
278.53,0.06002
278.572,0.05377
278.604,0.26801
278.692,0.09699
278.714,0.08751
278.75,0.06514
278.77,0.05175
278.812,0.02129
278.832,0.02278
278.854,0.02933
278.872,0.05337
278.89,0.0535
278.912,0.03158
278.93,0.00737
278.952,0.00517
278.972,0.00845
279.012,0.01694
279.032,0.00889
279.05,0.00472
279.068,0.0128
279.094,0.01572
279.112,0.02677
279.132,0.01824
279.15,0.00957
279.17,-0.0199
279.236,0.02682
279.252,0.03589
279.274,0.0336
279.292,0.02579
279.33,0.26293
279.372,-0.09573
279.414,0.07534
279.434,0.06321
279.452,0.05948
279.472,0.04488
279.492,0.04384
279.51,0.03706
279.592,0.03145
279.612,0.05265
279.65,0.00907
279.672,-0.01469
279.694,-0.01869
279.714,-0.00952
279.73,9e-05
279.752,0.00346
279.77,0.00377
279.794,0.00234
279.814,0.01015
279.834,0.00795
279.85,0.01181
279.872,0.01959
279.892,0.01532
279.91,0.01015
279.95,-0.04209
280.012,0.04012
280.032,0.03994
280.074,0.05193
280.106,0.32219
280.174,0.11743
280.192,0.12183
280.23,0.08454
280.252,0.0805
280.274,0.05876
280.29,0.04488
280.314,0.0288
280.332,0.02673
280.354,0.05207
280.392,0.09205
280.474,0.00252
280.512,0.02655
280.532,0.03769
280.55,0.02682
280.57,0.02615
280.594,0.04474
280.614,0.03756
280.632,0.03949
280.654,0.03329
280.674,0.0257
280.69,0.01208
280.71,0.00602
280.73,-0.02677
280.792,0.04632
280.812,0.06509
280.834,0.07502
280.854,0.07363
280.888,0.35202
280.972,0.13082
281.012,0.10211
281.032,0.0987
281.05,0.07111
281.092,0.03252
281.112,0.03432
281.176,0.06415
281.192,0.05184
281.212,0.02318
281.234,0.01887
281.254,0.01707
281.272,0.02156
281.312,0.02448
281.332,0.01801
281.354,0.03001
281.37,0.02808
281.41,0.02511
281.432,0.01945
281.45,0.01429
281.474,0.00557
281.496,-0.03526
281.572,0.04115
281.594,0.04232
281.614,0.03158
281.652,0.28122
281.694,-0.10943
281.732,0.07026
281.774,0.04344
281.792,0.03971
281.85,0.00355
281.872,-0.01217
281.914,0.02844
281.934,0.03796
281.952,0.04272
281.97,0.00436
281.994,-0.02004
282.012,-0.01725
282.034,-0.01119
282.054,0.00031
282.072,0.00773
282.094,0.01563
282.114,0.00719
282.134,0.00822
282.15,0.01442
282.194,0.00346
282.212,0.00031
282.232,-0.00013
282.254,-0.00988
282.332,0.01923
282.354,0.03598
282.374,0.04492
282.396,0.03482
282.432,0.3398
282.474,-0.08769
282.514,0.11145
282.53,0.08428
282.552,0.08198
282.574,0.07066
282.59,0.06563
282.632,0.03571
282.652,0.0221
282.694,0.07008
282.714,0.07924
282.732,0.07349
282.752,0.02623
282.792,0.0058
282.834,0.03113
282.854,0.02597
282.876,0.02677
282.892,0.02898
282.916,0.02749
282.936,0.03329
282.954,0.02588
282.976,0.03657
282.996,0.02978
283.012,0.02264
283.034,0.00651
283.07,-0.02965
283.154,0.05566
283.176,0.05746
283.194,0.06523
283.226,0.33086
283.312,0.13113
283.332,0.11109
283.354,0.10346
283.392,0.06977
283.41,0.04852
283.434,0.04124
283.454,0.03468
283.492,0.05777
283.512,0.05853
283.576,0.00593
283.596,0.01527
283.612,0.01712
283.636,0.0257
283.654,0.0279
283.674,0.02498
283.692,0.02197
283.714,0.03275
283.736,0.03059
283.754,0.02273
283.772,0.02498
283.792,0.01896
283.816,-0.01887
283.88,0.04573
283.896,0.05103
283.912,0.04272
283.932,0.03163
283.972,0.26338
284.056,0.06824
284.074,0.0588
284.092,0.04632
284.112,0.04852
284.132,0.03693
284.152,0.02282
284.194,-0.01348
284.216,-0.00184
284.232,0.00611
284.336,-0.06154
284.356,-0.03594
284.374,-0.02871
284.396,-0.01024
284.414,0.00364
284.436,0.00593
284.458,0.01563
284.472,0.02363
284.496,0.02475
284.53,0.01725
284.634,0.05737
284.654,0.06006
284.674,0.05912
284.694,0.05732
284.718,0.38966
284.796,0.15404
284.814,0.14982
284.834,0.13576
284.876,0.11985
284.914,0.09187
284.954,0.06932
284.976,0.0841
284.996,0.09977
285.054,0.00094
285.076,0.0009
285.116,0.01424
285.136,0.0137
285.156,0.02102
285.174,0.00993
285.214,0.02866
285.236,0.0385
285.254,0.03791
285.274,0.04582
285.296,0.01172
285.356,0.0717
285.374,0.07641
285.394,0.08625
285.414,0.08239
285.452,0.24276
285.484,-0.03526
285.496,0.03095
285.532,0.09416
285.554,0.09218
285.574,0.08073
285.594,0.0814
285.614,0.08976
285.636,0.07318
285.674,0.03787
285.738,0.09398
285.798,0.0717
285.816,0.07547
285.848,0.07376
285.874,0.05166
285.934,0.03306
285.956,0.06545
286.018,0.11491
286.108,0.15233
286.14,-0.07273
286.148,-0.07475
286.196,-0.00076
286.256,0.00279
286.276,0.00346
286.316,-0.02498
286.336,-0.027
286.394,-0.03607
286.474,-0.03145
286.502,-0.01581
286.536,0.00544
286.576,0.03526
286.6,0.04618
286.696,0.09888
286.78,0.22807
286.822,0.03585
286.856,0.02556
286.936,0.00162
286.996,-0.01204
287.082,0.04959
287.274,0.04456
287.396,0.10148
287.458,0.33225
287.498,0.08809
287.54,0.13535
287.736,0.05251
287.77,0.02992
287.79,0.01406
287.8,0.02951
287.822,-0.0252
287.838,-0.03324
287.868,0.00463
287.898,0.03059
287.918,-0.004
287.938,0.00031
287.96,0.01671
287.98,0.0575
288.014,-0.00319
288.038,0.07183
288.046,0.0456
288.058,0.15188
288.076,0.20611
288.1,0.01851
288.122,-0.00795
288.144,0.00234
288.168,0.42982
288.242,0.29326
288.252,0.35705
288.272,0.29398
288.42,0.21015
288.44,0.22587
288.702,-0.10386
288.72,-0.09829
288.782,-0.05638
288.798,-0.05759
288.818,-0.05966
288.876,0.29654
289.058,0.07012
289.14,0.08607
289.298,0.00144
289.378,0.03163
289.414,0.01662
289.476,0.09375
289.566,0.407
289.656,0.10597
289.84,0.08823
290.078,0.0243
290.098,0.00234
290.176,0.06307
290.254,0.35345
290.334,0.11563
290.518,0.08441
290.596,0.0009
290.658,0.00606
290.7,0.0257
290.718,0.0248
290.74,0.03059
290.778,0.00395
290.84,0.05198
290.86,0.04789
290.876,0.04236
290.898,0.03221
290.93,0.34016
291.02,0.11967
291.06,0.07713
291.078,0.08176
291.1,0.08405
291.214,0.08657
291.278,-0.04003
291.298,-0.03684
291.34,0.00135
291.378,0.00031
291.42,-0.00225
291.44,-0.00436
291.538,0.00988
291.56,0.00845
291.58,0.00539
291.62,0.33494
291.7,0.10764
291.76,0.09375
291.778,0.08737
291.9,0.07183
292.04,-0.01056
292.064,-0.01069
292.102,0.00566
292.138,-0.02156
292.202,0.04048
292.22,0.03971
292.258,0.02844
292.29,0.27241
292.382,0.06127
292.42,0.03827
292.442,0.03949
292.462,0.03504
292.48,0.0305
292.502,0.02255
292.524,0.03652
292.562,0.07861
292.662,-0.02138
292.744,-0.00328
292.762,0.00162
292.782,0.00099
292.818,-0.03419
292.88,0.04092
292.924,0.03279
292.942,0.03877
292.97,0.35848
293.06,0.11824
293.082,0.10027
293.122,0.09218
293.162,0.07354
293.242,0.11285
293.322,-0.04425
293.364,-0.02556
293.38,-0.01743
293.442,0.01132
293.5,-0.01406
293.584,0.04703
293.624,0.03347
293.656,0.36316
293.742,0.11626
293.76,0.1026
293.78,0.10305
293.8,0.10732
293.862,0.07349
293.924,0.11343
294.022,-0.03163
294.042,-0.0155
294.062,-0.01262
294.124,0.01779
294.142,0.01887
294.16,0.01438
294.2,-0.01945
294.264,0.06015
294.282,0.05984
294.32,0.03994
294.352,0.32866
294.424,0.09047
294.444,0.09128
294.462,0.07906
294.482,0.07403
294.544,0.03473
294.584,0.0385
294.624,0.06343
294.702,-0.02776
294.784,0.00597
294.804,0.0027
294.824,0.0124
294.942,0.04349
294.962,0.03989
295.03,0.25786
295.124,0.04605
295.186,0.05822
295.264,0.05207
295.304,0.08198
295.384,-0.01824
295.406,-0.01851
295.426,-0.02116
295.446,-0.01581
295.464,-0.00642
295.522,0.00436
295.564,-0.01415
295.646,0.06127
295.662,0.06038
295.684,0.05395
295.718,0.35026
295.802,0.11235
295.866,0.06262
295.884,0.06631
295.986,0.0956
296.064,-0.04748
296.086,-0.03944
296.128,-0.01527
296.144,-0.01487
296.166,-0.00557
296.188,0.00341
296.204,0.01078
296.226,0.00791
296.244,0.00499
296.346,0.04178
296.384,0.03001
296.426,0.38764
296.506,0.13099
296.526,0.12152
296.546,0.10714
296.584,0.09636
296.604,0.08899
296.628,0.06586
296.686,0.11392
296.704,0.11527
296.766,-0.04654
296.806,-0.0327
296.826,-0.01244
296.846,-0.0106
296.866,-0.00588
296.886,0.00243
296.904,0.00413
296.926,0.00755
296.966,0.00791
297.086,0.02826
297.15,0.26738
297.246,0.06029
297.264,0.05207
297.286,0.06379
297.346,0.03468
297.364,0.03059
297.426,0.08522
297.504,-0.00602
297.526,-0.00413
297.548,0.0022
297.568,0.01249
297.606,0.02965
297.628,0.03131
297.668,0.0319
297.688,-0.00234
297.748,0.03652
297.768,0.04227
297.788,0.04088
297.808,0.02969
297.846,0.35529
297.926,0.11855
297.968,0.09061
297.988,0.10058
298.006,0.10153
298.046,0.08396
298.126,0.14573
298.186,0.00988
298.23,0.02031
298.244,0.03522
298.29,0.05552
298.33,0.07026
298.366,0.09613
298.388,0.1062
298.508,0.14398
298.526,0.13926
298.55,0.13113
298.574,0.3623
298.618,-0.03037
298.648,0.14834
298.668,0.15117
298.688,0.13683
298.708,0.13567
298.73,0.13099
298.81,0.07938
298.846,0.10112
298.926,0.00144
298.948,-0.00804
298.968,-0.01325
299.008,-0.00719
299.03,-0.00175
299.05,-0.00126
299.066,0.00031
299.088,-0.00566
299.126,-0.0487
299.19,0.019
299.23,0.01905
299.248,0.0093
299.28,0.26217
299.35,0.01051
299.388,0.01649
299.406,-0.00067
299.468,0.00171
299.548,0.06285
299.628,-0.05193
299.67,-0.04654
299.708,-0.04133
299.73,-0.02677
299.75,-0.02269
299.768,-0.01411
299.786,-0.01509
299.808,-0.01442
299.828,-0.01487
299.852,-0.04133
299.928,0.03756
299.948,0.04097
299.97,0.04079
300.004,0.37466
300.086,0.09703
300.108,0.08248
300.128,0.07507
300.148,0.06738
300.21,0.04798
300.288,0.11855
300.352,-0.02269
300.37,-0.00912
300.408,-0.00854
300.43,-0.01298
300.49,-0.00665
300.53,-0.01357
300.55,-0.02781
300.568,-0.03122
300.69,0.00786
300.752,0.42412
300.83,0.13315
300.85,0.12291
300.932,0.04942
301.032,0.08558
301.132,-0.05108
301.268,0.01312
301.29,0.00687
301.31,0.00031
301.41,0.01909
301.43,0.01509
301.45,0.00966
301.486,0.42066
301.568,0.13778
301.59,0.12623
301.732,0.08428
301.75,0.08679
301.85,-0.07012
301.912,-0.03711
301.952,-0.01779
301.972,-0.01487
302.032,-0.00939
302.112,0.00319
302.132,0.01608
302.216,0.30763
302.294,0.11518
302.312,0.11662
302.376,0.1146
302.434,0.06415
302.492,0.09955
302.512,0.09613
302.572,-0.01451
302.592,-0.02282
302.61,-0.02269
302.654,0.01366
302.69,0.01181
302.732,-0.01815
302.794,0.05166
302.812,0.05166
302.886,0.16532
302.918,-0.0602
302.93,-0.06743
302.954,0.03266
302.974,0.04227
303.01,0.02071
303.072,-0.03827
303.094,-0.04146
303.154,0.08994
303.172,0.09685
303.254,-0.01617
303.272,-0.01694
303.292,-0.02125
303.314,-0.01725
303.33,-0.02547
303.352,-0.01671
303.374,-0.00508
303.472,0.12596
303.55,0.23544
303.592,-0.06298
303.632,0.03288
303.67,-0.00651
303.692,-0.00624
303.714,0.00126
303.732,-0.01896
303.794,0.02224
303.812,0.05885
303.832,0.05517
303.894,-0.07017
303.912,-0.07026
303.974,-0.02911
303.992,-0.00912
304.012,0.01325
304.032,0.0142
304.054,-0.01447
304.112,0.0442
304.132,0.04573
304.154,0.04097
304.172,0.04173
304.202,0.2579
304.244,-0.10764
304.28,0.0796
304.312,0.0535
304.334,0.03985
304.372,0.07116
304.394,0.06464
304.454,0.10894
304.472,0.12322
304.492,0.11824
304.51,0.07062
304.534,0.03216
304.556,0.01887
304.568,0.01159
304.592,-0.00377
304.612,0.01146
304.634,0.02107
304.652,0.03437
304.674,0.03935
304.752,0.00921
304.778,0.0372
304.792,0.01833
304.816,0.01172
304.85,0.32371
304.892,0.02057
304.916,0.07367
304.934,0.07911
305.012,0.06285
305.032,0.0672
305.052,0.05207
305.074,0.06428
305.116,0.12255
305.192,-0.06127
305.216,-0.04919
305.232,-0.03711
305.252,-0.00449
305.274,0.0084
305.294,0.01586
305.314,0.02466
305.336,-0.00939
305.414,0.10656
305.452,0.06918
305.486,0.29748
305.53,-0.05436
305.572,0.07704
305.616,0.03841
305.632,0.03809
305.654,0.02942
305.676,0.01599
305.696,0.00818
305.758,0.10799
305.774,0.10741
305.832,-0.03037
305.854,-0.019
305.876,-0.00503
305.896,0.00701
305.918,0.00993
305.934,0.00975
305.956,0.00687
305.978,-0.01128
306.056,0.05638
306.076,0.06653
306.094,0.0456
306.132,0.32147
306.214,0.11518
306.236,0.08985
306.254,0.08356
306.276,0.09232
306.314,0.06649
306.336,0.0588
306.378,0.10602
306.394,0.1358
306.474,-0.05175
306.512,-0.04358
306.536,-0.02493
306.556,-0.02565
306.578,-0.01671
306.616,0.00054
306.636,-0.00606
306.654,-0.03643
306.72,0.03818
306.738,0.04259
306.756,0.05063
306.774,0.04366
306.81,0.32937
306.898,0.09973
306.918,0.08293
306.936,0.08607
306.954,0.08872
306.994,0.07888
307.018,0.07322
307.056,0.12605
307.076,0.14128
307.096,0.13823
307.158,-0.04335
307.176,-0.03432
307.198,-0.02498
307.216,-0.01258
307.236,-0.00265
307.274,0.00836
307.298,0.00939
307.318,0.00198
307.336,0.00597
307.356,-0.01262
307.418,0.02102
307.438,0.03059
307.456,0.02426
307.474,0.02044
307.51,0.27313
307.594,0.0858
307.614,0.05534
307.634,0.05301
307.656,0.06402
307.676,0.06204
307.696,0.03634
307.718,0.02264
307.758,0.09097
307.796,0.10961
307.858,-0.01698
307.876,-0.01617
307.896,-0.01024
307.916,0.00108
307.94,0.015
307.956,0.01438
307.978,0.01604
307.996,0.01536
308.058,-0.07534
308.098,0.05782
308.118,0.05701
308.156,0.03818
308.182,0.29568
308.224,-0.13769
308.258,0.07439
308.274,0.06738
308.298,0.05247
308.32,0.05916
308.336,0.06738
308.378,0.05355
308.398,0.05409
308.42,0.08621
308.44,0.12538
308.458,0.1469
308.538,-0.04416
308.558,-0.03504
308.58,-0.02664
308.598,-0.02022
308.618,-0.0084
308.636,-0.00144
308.656,-0.00148
308.678,0.00746
308.696,-0.00076
308.716,-0.00337
308.736,-0.03342
308.818,0.04977
308.836,0.04712
308.856,0.03216
308.886,0.33301
308.958,0.13576
308.996,0.0973
309.04,0.09712
309.054,0.09196
309.16,0.12134
309.24,-0.03967
309.298,0.00094
309.34,0.02507
309.358,0.02763
309.376,0.03059
309.396,0.03252
309.418,0.02754
309.438,-0.02174
309.46,-0.06262
309.498,0.06954
309.518,0.06667
309.536,0.06819
309.556,0.04632
309.586,0.25588
309.66,0.09649
309.676,0.10422
309.698,0.08266
309.716,0.07444
309.736,0.08724
309.758,0.06595
309.818,0.01226
309.84,0.03482
309.876,0.07853
309.918,0.13692
309.938,0.15364
309.958,0.15831
310.06,-0.09892
310.078,-0.10188
310.22,0.01671
310.262,0.33189
310.36,0.06105
310.378,0.04416
310.398,0.02066
310.416,0.02727
310.536,0.07277
310.6,-0.00243
310.638,0.0142
310.66,0.01604
310.678,0.02354
310.72,0.02844
310.738,0.03109
310.758,0.02552
310.776,0.01101
310.796,-0.03423
310.86,0.06105
310.88,0.07614
310.9,0.08499
310.918,0.08158
310.958,0.42407
311.038,0.15903
311.1,0.0933
311.118,0.09362
311.138,0.06774
311.16,0.04798
311.18,0.04906
311.2,0.07026
311.22,0.08212
311.24,0.07781
311.3,0.03522
311.358,-0.00458
311.378,-0.04182
311.42,-0.02606
311.44,-0.01837
311.458,-0.02174
311.48,-0.01743
311.6,0.02228
311.618,0.01923
311.638,0.0142
311.676,0.32232
311.762,0.1389
311.776,0.13104
311.8,0.11792
311.82,0.1292
311.88,0.06065
311.94,0.09232
311.958,0.08001
312.02,-0.00049
312.04,-0.0142
312.058,-0.01995
312.08,-0.01842
312.1,-0.01887
312.118,-0.01846
312.178,0.00521
312.28,0.0553
312.3,0.05247
312.32,0.046
312.36,0.33059
312.402,-0.12381
312.442,0.11361
312.5,0.05728
312.522,0.05912
312.54,0.06132
312.558,0.04888
312.582,0.04349
312.64,0.07888
312.702,0.00189
312.72,-0.00557
312.742,0.00449
312.802,0.02835
312.82,0.02763
312.842,0.02246
312.882,0.01491
312.918,-0.02637
312.944,-0.07646
312.98,0.03257
313.0,0.04991
313.02,0.04438
313.042,0.04164
313.072,0.3672
313.144,0.13679
313.162,0.13877
313.202,0.088
313.222,0.10301
313.24,0.09748
313.278,0.04852
313.3,0.04551
313.32,0.06523
313.34,0.08392
313.398,-0.02296
313.422,-0.01694
313.46,0.0035
313.502,0.02044
313.524,0.01743
313.54,0.0133
313.582,0.015
313.602,0.01491
313.64,0.00485
313.74,0.03118
313.76,0.03809
313.78,0.042
313.8,0.04344
313.83,0.38526
313.924,0.14254
313.98,0.09304
314.022,0.06195
314.044,0.03738
314.082,0.06783
314.102,0.08854
314.122,0.08068
314.162,0.00166
314.184,-0.00642
314.204,0.00925
314.22,0.01608
314.244,0.02606
314.284,0.01945
314.364,-0.00067
314.382,-0.00409
314.446,-0.04888
314.522,0.02871
314.562,0.03311
314.604,0.34492
314.68,0.1208
314.7,0.10516
314.722,0.08949
314.742,0.07206
314.76,0.08082
314.824,0.02102
314.866,0.04232
314.884,0.05867
315.006,0.01532
315.024,0.02736
315.082,0.03131
315.102,0.03827
315.122,0.03158
315.142,0.02331
315.202,-0.01981
315.282,0.0575
315.302,0.05755
315.32,0.05292
315.36,0.36985
315.442,0.13616
315.484,0.07507
315.504,0.06932
315.522,0.07138
315.542,0.05916
315.564,0.04331
315.62,0.05939
315.644,0.06833
315.706,-0.02484
315.724,-0.00988
315.742,0.00642
315.764,0.01024
315.782,0.02331
315.804,0.01366
315.822,0.00809
315.844,0.00377
315.864,-0.00328
315.884,0.00193
315.906,0.0
315.922,-0.00198
315.942,-0.00791
315.962,-0.01146
315.982,-0.00795
316.084,0.05552
316.104,0.0606
316.122,0.06527
316.168,0.39069
316.244,0.12507
316.304,0.06289
316.326,0.07835
316.34,0.06357
316.364,0.05301
316.382,0.03544
316.444,0.0854
316.504,0.00112
316.524,0.00247
316.564,0.01581
316.582,0.01384
316.602,0.0173
316.622,0.01739
316.642,-0.0018
316.664,0.00323
316.684,0.0027
316.702,-0.01172
316.724,-0.01119
316.746,-0.01743
316.764,-0.00728
316.802,0.00494
316.822,0.0088
316.844,0.0044
316.864,-0.01024
316.928,0.06056
316.944,0.06559
316.964,0.05903
316.984,0.05526
317.024,0.3822
317.106,0.12093
317.144,0.08216
317.166,0.07938
317.18,0.08607
317.222,0.05732
317.242,0.05193
317.286,0.09003
317.306,0.08773
317.382,-0.00845
317.404,-0.00305
317.426,0.00247
317.446,0.00952
317.466,0.00894
317.506,-0.01447
317.528,-0.0173
317.548,-0.01208
317.584,-0.00126
317.606,0.00952
317.622,0.00557
317.648,0.01096
317.668,-0.0106
317.746,0.04766
317.826,0.31644
317.904,0.10458
317.926,0.09685
317.944,0.07799
317.962,0.073
317.982,0.06644
318.004,0.05103
318.044,0.02632
318.086,0.05427
318.106,0.06056
318.146,0.02749
318.164,0.01613
318.184,0.01743
318.206,0.02004
318.226,0.0173
318.248,0.01563
318.264,0.01828
318.284,0.01357
318.304,0.01747
318.326,0.02022
318.344,0.01033
318.366,0.01289
318.386,0.00737
318.404,0.00916
318.444,-0.03585
318.506,0.04187
318.526,0.05323
318.544,0.05481
318.564,0.05287
318.598,0.32403
318.684,0.10817
318.744,0.07008
318.784,0.06923
318.826,0.03378
318.866,0.06307
318.886,0.05422
318.924,-0.00301
318.946,-0.00234
318.966,-0.00593
318.986,0.00198
319.024,0.02372
319.046,0.01864
319.086,0.00925
319.106,0.00458
319.126,0.00162
319.148,-0.0027
319.166,-0.00265
319.186,-0.00544
319.206,0.00031
319.228,-0.03176
319.308,0.04236
319.328,0.05301
319.348,0.05355
319.386,0.39694
319.466,0.13962
319.524,0.07165
319.546,0.08019
319.568,0.07134
319.646,0.06711
319.666,0.07646
319.746,0.00571
319.768,0.00773
319.788,0.02228
319.808,0.02907
319.824,0.02736
319.848,0.03059
319.864,0.0186
319.884,0.015
319.908,0.00858
319.926,0.0124
319.948,9e-05
319.962,0.00031
319.986,0.00373
320.088,0.04726
320.106,0.0451
320.124,0.04344
320.166,0.33899
320.208,-0.10858
320.248,0.11446
320.266,0.10265
320.284,0.08877
320.304,0.08926
320.324,0.0832
320.386,0.02731
320.426,0.04784
320.446,0.05777
320.468,0.05013
320.506,0.03185
320.528,0.04263
320.548,0.04164
320.584,0.04964
320.608,0.04942
320.666,0.04946
320.686,0.04407
320.726,0.00809
320.786,0.05647
320.808,0.05463
320.828,0.03863
320.878,0.1239
320.91,-0.01716
320.924,-0.03073
320.968,0.03315
320.988,0.01756
321.028,0.02143
321.044,0.023
321.064,0.00678
321.088,-0.00602
321.146,0.01258
321.166,0.03549
321.186,0.02219
321.208,0.04088
321.228,0.06644
321.288,0.04119
321.328,0.04245
321.388,0.05085
321.488,0.14874
321.528,0.134
321.546,0.17071
321.582,0.19101
321.63,0.0345
321.69,-0.00229
321.706,-0.01986
321.826,-0.02749
321.848,-0.02534
321.888,-0.00593
321.908,-0.01851
321.928,-0.02237
321.946,-0.03378
322.008,-0.01909
322.028,-0.00791
322.048,-0.01123
322.15,0.04654
322.168,0.05696
322.228,0.1513
322.262,0.10296
322.306,0.01514
322.346,-0.00054
322.388,0.02107
322.41,0.00503
322.428,-0.00521
322.448,-0.01271
322.508,0.03702
322.528,0.04537
322.546,0.03522
322.57,0.02902
322.586,0.02331
322.628,0.01545
322.648,0.0133
322.668,0.01563
322.728,0.02875
322.75,0.06011
322.768,0.05135
322.81,-0.01289
322.888,0.04982
322.906,0.0354
322.93,0.01999
322.964,0.1916
323.004,-0.04061
323.048,0.03657
323.11,0.01123
323.128,0.03827
323.148,0.03145
323.186,-0.02174
323.25,0.04667
323.268,0.01622
323.29,-0.01869
323.31,-0.01649
323.33,-0.00198
323.348,0.00813
323.368,0.01797
323.406,0.01999
323.426,0.00845
323.45,0.00813
323.47,0.00593
323.492,0.00377
323.508,0.01927
323.53,0.02403
323.55,0.02376
323.63,0.04097
323.652,0.05314
323.668,0.05063
323.688,0.05036
323.71,0.04151
323.736,0.27318
323.774,-0.05063
323.806,0.10561
323.846,0.07116
323.868,0.04888
323.89,0.0602
323.906,0.07066
323.946,0.02475
323.968,0.01851
324.012,0.06932
324.07,0.02331
324.086,0.01721
324.108,0.02727
324.128,0.04182
324.168,0.03365
324.188,0.03473
324.208,0.02785
324.226,0.01909
324.25,0.01756
324.27,0.01752
324.288,0.00786
324.31,0.00836
324.348,0.00377
324.368,0.00252
324.404,-0.031
324.488,0.07583
324.51,0.07255
324.568,0.31877
324.608,-0.08895
324.65,0.10058
324.668,0.06581
324.712,0.05108
324.73,0.05732
324.748,0.04057
324.812,0.04474
324.852,0.06927
324.868,0.05207
324.912,0.01132
324.928,0.02215
324.952,0.02372
324.97,0.03118
324.988,0.02713
325.01,0.03041
325.048,0.01172
325.072,0.00651
325.09,0.00903
325.11,0.00198
325.13,-0.00665
325.17,-0.00144
325.192,0.00031
325.21,0.0088
325.23,0.01626
325.248,0.01244
325.27,-0.01011
325.352,0.06702
325.392,0.05251
325.432,0.31725
325.472,-0.09802
325.51,0.09133
325.57,0.04632
325.588,0.05458
325.608,0.05305
325.63,0.03756
325.672,0.04757
325.71,0.08113
325.79,0.00629
325.81,0.01181
325.83,0.01307
325.85,0.0124
325.872,0.00952
325.888,-0.0004
325.91,-4e-05
325.932,0.00575
325.948,0.00602
325.972,0.0093
325.988,0.00705
326.01,0.00548
326.03,0.0066
326.052,0.00665
326.07,0.01114
326.09,0.01438
326.108,0.0173
326.13,0.01779
326.21,0.0495
326.23,0.0606
326.25,0.05449
326.268,0.05499
326.29,0.04712
326.318,0.29424
326.358,-0.12093
326.39,0.09591
326.452,0.04739
326.468,0.05427
326.49,0.06658
326.554,0.03778
326.572,0.06491
326.592,0.08787
326.61,0.08715
326.67,-0.00337
326.712,0.00031
326.73,0.01491
326.752,0.02471
326.81,0.01384
326.828,0.00647
326.852,0.00485
326.87,0.00256
326.908,0.00027
326.932,0.01015
326.952,0.00827
326.97,0.00809
326.992,0.00683
327.012,0.02031
327.094,0.0518
327.11,0.07538
327.194,0.30256
327.236,-0.11604
327.274,0.08913
327.286,0.07304
327.31,0.05876
327.332,0.05067
327.352,0.0557
327.392,0.04155
327.41,0.02417
327.432,0.03769
327.472,0.0787
327.492,0.07637
327.534,0.00368
327.55,0.00642
327.574,-0.00858
327.61,0.01029
327.63,0.01348
327.65,0.00144
327.672,0.00723
327.694,0.0155
327.728,0.00328
327.752,0.00391
327.774,0.00517
327.788,0.00202
327.81,0.01325
