t_s,amp_uS
7.154,0.02289999999999992
10.316,0.291500000000001
12.118,0.27169999999999916
15.912,0.7141000000000002
22.434,0.4486000000000008
24.988,0.09920000000000151
26.11,0.021399999999999864
27.36,0.03810000000000002
27.988,0.06099999999999994
29.764,0.6607000000000003
33.254,0.523299999999999
40.304,5.5634
41.888,0.5981999999999985
44.596,0.37230000000000096
48.83,0.6363000000000003
53.564,0.4985999999999997
56.924,0.16409999999999947
61.842,0.41360000000000063
64.722,0.32839999999999847
67.622,0.25450000000000017
69.866,0.059499999999999886
72.8,0.354000000000001
76.18,0.4745000000000008
81.858,0.5855999999999995
85.14,0.37729999999999997
89.884,0.17580000000000062
93.42,0.3722999999999992
94.758,0.27919999999999945
97.596,0.6866000000000003
100.778,0.5611999999999995
104.456,0.17400000000000126
107.256,0.19989999999999952
109.196,0.13540000000000063
116.41,0.17360000000000042
117.872,0.1769999999999996
121.114,0.2364999999999995
124.128,0.6012000000000004
127.908,0.47139999999999915
131.424,0.09539999999999971
138.008,0.10599999999999987
141.608,0.2945000000000011
144.772,0.3460000000000001
146.598,0.049999999999998934
150.056,0.6119000000000003
152.342,0.03669999999999973
158.632,0.47610000000000063
161.19,0.09609999999999985
165.052,0.39979999999999905
168.974,1.2284000000000006
170.942,0.2303999999999995
173.102,0.15339999999999954
176.944,0.4234000000000009
183.168,0.12199999999999989
187.766,0.3448999999999991
191.054,0.3592999999999993
195.974,0.8396000000000008
197.512,0.24519999999999875
200.072,0.054999999999999716
205.072,0.6684000000000001
209.722,0.553799999999999
211.302,0.32340000000000124
215.406,0.4532000000000007
218.304,0.5233999999999988
225.904,0.036599999999999966
231.136,0.09500000000000064
238.012,0.0259999999999998
239.952,0.1576000000000004
247.05,4.514700000000001
249.238,0.3097000000000012
255.616,0.5812999999999988
262.992,0.3981999999999992
273.042,0.5547000000000004
275.548,0.2411000000000012
279.15,0.08510000000000062
281.37,0.026699999999999946
283.708,0.17740000000000045
286.212,0.7144999999999992
286.654,0.09500000000000064
289.34,1.0848999999999993
291.642,1.3336000000000006
294.504,0.7603000000000009
296.542,1.0754000000000001
297.044,0.2701000000000011
299.326,0.7827999999999999
301.83,0.03819999999999979
305.272,0.32539999999999836
307.154,0.06709999999999994
312.22,0.5156999999999989
323.35,0.5508000000000006
335.876,0.5359999999999996
337.956,1.0925999999999991
338.476,0.05220000000000091
340.436,0.15719999999999956
341.158,0.5687999999999995
341.576,0.4172999999999991
343.154,0.34330000000000105
347.154,0.5280000000000005
348.094,0.06099999999999994
350.818,0.6104000000000003
356.064,0.2043999999999997
358.586,0.6069000000000013
361.506,0.14579999999999949
367.104,0.15259999999999962
373.664,0.18079999999999963
376.048,0.17970000000000041
377.408,0.024399999999999977
381.292,0.0472999999999999
383.97,0.34060000000000024
390.114,0.05259999999999998
403.424,0.6042000000000005
408.55,0.6320999999999994
412.25,0.24799999999999933
417.252,0.35549999999999926
422.978,0.3769
428.246,0.029300000000000104
431.026,0.33150000000000013
443.558,0.4573999999999998
447.042,0.29990000000000006
452.686,1.0483000000000002
462.912,0.19449999999999967
465.374,0.34640000000000004
476.234,0.9715999999999996
480.512,0.6606999999999994
482.792,0.021700000000000053
485.592,0.43790000000000084
491.83,0.04579999999999984
496.452,0.3033000000000001
499.072,0.024399999999999977
502.952,0.17279999999999962
505.072,0.37840000000000007
510.696,0.21059999999999945
515.6,0.06490000000000062
519.362,0.5867000000000004
522.546,0.16629999999999967
533.96,0.6598999999999995
542.362,0.15559999999999974
544.106,0.383
547.668,0.6469000000000005
553.97,0.0411999999999999
555.512,0.47529999999999983
560.168,0.3098000000000001
561.73,0.08539999999999992
566.07,0.6346999999999996
567.046,0.3341000000000003
567.602,0.057599999999999874
568.784,0.24489999999999945
574.042,1.126100000000001
575.92,0.3752999999999993
579.458,0.2846000000000011
581.4,0.022499999999999076
582.618,0.03250000000000064
584.338,0.11899999999999977
586.036,0.5833000000000004
588.214,0.07059999999999977
592.674,0.024399999999999977
594.534,0.5493000000000006
596.396,0.05229999999999979
597.492,0.0411999999999999
602.436,0.5989000000000004
607.416,0.02969999999999917
607.536,0.021399999999999864
609.98,0.7156000000000002
615.862,0.4302999999999999
620.468,0.16019999999999968
623.73,0.02400000000000002
625.412,0.02939999999999987
627.952,0.3418000000000001
631.118,0.022499999999999964
633.596,0.0420000000000007
636.722,0.27010000000000023
640.706,0.07399999999999984
643.29,0.5097000000000005
646.308,0.5615000000000006
651.294,0.1841999999999997
656.816,0.08400000000000052
659.256,0.12820000000000054
661.52,0.020199999999999996
662.64,0.24270000000000014
665.9,0.29300000000000015
669.682,1.066600000000001
670.782,0.03049999999999997
674.482,0.16330000000000044
677.542,0.11329999999999973
685.036,0.4276
687.84,0.14569999999999972
692.632,0.28990000000000027
695.096,0.29720000000000013
699.254,0.7583999999999991
703.656,1.5460999999999991
705.298,0.30820000000000114
710.554,0.5957999999999988
715.158,0.18880000000000052
718.66,0.021300000000000097
720.524,0.37240000000000073
722.588,0.03509999999999991
722.762,0.028200000000000003
724.686,0.11289999999999978
724.948,0.040000000000000036
726.89,0.2120999999999995
734.032,0.6935000000000002
734.414,0.048799999999999955
737.776,0.5526999999999997
743.7,0.5637999999999996
749.538,0.4013
757.722,0.5476999999999999
765.198,0.2975000000000003
769.134,0.2903000000000002
774.836,0.19989999999999952
778.232,0.2551999999999994
784.154,0.13470000000000049
785.534,0.0625
789.492,0.03469999999999995
797.194,0.1255000000000006
799.738,0.10990000000000055
802.822,0.06289999999999996
805.688,0.13620000000000054
809.49,0.43789999999999996
815.264,0.06299999999999972
819.702,0.10229999999999961
821.944,0.23350000000000026
833.734,0.21059999999999945
839.196,0.021000000000000796
843.062,0.49049999999999994
852.414,0.7225000000000001
863.634,0.3540000000000001
866.966,0.13889999999999958
874.444,0.37539999999999996
880.422,0.08970000000000056
885.716,0.1358000000000006
889.196,0.2846000000000002
891.312,0.12359999999999971
898.094,0.3868999999999998
900.312,0.07209999999999983
901.998,0.026699999999999946
902.776,0.02629999999999999
906.082,0.027800000000000047
908.156,0.062100000000000044
912.142,1.1368
913.724,0.06789999999999985
916.328,0.1739000000000006
919.932,0.5645999999999995
923.616,0.3924999999999992
924.652,0.026699999999999946
925.734,0.02400000000000002
929.6,0.22309999999999963
931.682,0.18120000000000047
938.384,0.32120000000000015
939.508,0.23490000000000055
940.902,0.18079999999999963
941.586,0.02629999999999999
944.67,0.2846000000000002
946.972,0.21060000000000034
950.048,0.02939999999999987
951.068,0.32310000000000016
953.626,0.08279999999999976
953.832,0.03359999999999985
954.504,0.24409999999999954
955.014,0.05230000000000068
959.822,0.04659999999999975
961.926,0.028999999999999915
970.924,1.9623000000000004
971.642,4.366700000000001
972.122,0.39140000000000086
981.366,0.14259999999999984
986.644,0.03360000000000074
990.548,0.021399999999999864
1001.32,3.0075
1001.874,5.814
1001.892,0.020199999999999996
1002.432,0.022799999999999987
1002.452,0.0286
1002.472,0.03250000000000001
1002.492,0.0382
1002.514,0.024800000000000003
1002.534,0.0221
1002.554,0.0237
1002.574,0.025599999999999998
1002.594,0.0245
1002.614,0.0206
1002.754,0.0233
1002.774,0.024100000000000003
1002.794,0.0252
1002.814,0.027500000000000004
1003.5,5.5687
1005.4,0.6111000000000004
1005.798,0.0686
1006.222,0.07780000000000076
1006.444,0.05340000000000078
1007.204,0.17050000000000054
1008.064,0.40359999999999996
1009.206,0.4722999999999997
1010.604,0.8327999999999998
1011.244,2.1742999999999997
1011.688,0.13920000000000066
1013.168,0.718
1014.406,0.3681000000000001
1014.79,0.04269999999999996
1017.774,0.42569999999999997
1023.012,5.203200000000001
1023.22,0.029799999999999827
1023.77,0.09299999999999997
1025.956,0.347900000000001
1027.34,0.36239999999999917
